Link,Domain,Have_IP,Have_@,URL_Length,Domain_Length,URL_Depth,occurence_tirets,Redirection,Number_%,https_Domain,TinyURL,label
https://www.pressfolios-production.s3.amazonaws.com,pressfolios-production.s3.amazonaws.com,54.231.134.81,0,51,39,1,2,6,1,0,0,0
https://www.pakistan.asia-news.com,pakistan.asia-news.com,104.26.15.211,0,34,22,1,2,6,1,0,0,0
https://www.oceandrivemiamibeach.com,oceandrivemiamibeach.com,209.99.64.53,0,36,24,1,1,6,1,0,0,0
https://www.projectgraphics.com,projectgraphics.com,216.69.167.249,0,31,19,1,1,6,1,0,0,0
https://www.wasdarwinwrong.com,wasdarwinwrong.com,91.142.254.95,0,30,18,1,1,6,1,0,0,0
https://www.outreach.ou.edu,outreach.ou.edu,156.110.248.97,0,27,15,1,1,6,1,0,0,0
https://www.gradnis.net,gradnis.net,104.21.90.89,0,23,11,1,1,6,1,0,0,0
https://www.sciquest.org.nz,sciquest.org.nz,120.138.27.58,0,27,15,1,1,6,1,0,0,0
https://www.developers.cardano.org,developers.cardano.org,75.2.60.5,0,34,22,1,1,6,1,0,0,0
https://www.smallpoxbiosafety.org,smallpoxbiosafety.org,185.8.129.4,0,33,21,1,1,6,1,0,0,0
https://www.texasnaacp.org,texasnaacp.org,34.98.99.30,0,26,14,1,1,6,1,0,0,0
https://www.winegrapes.org,winegrapes.org,185.61.152.15,0,26,14,1,1,6,1,0,0,0
https://www.jhnet.co.uk,jhnet.co.uk,67.205.57.223,0,23,11,1,1,6,1,0,1,0
https://www.a2zcolleges.com,a2zcolleges.com,98.129.229.251,0,27,15,1,1,6,1,0,0,0
https://www.foilingweek.com,foilingweek.com,135.125.4.165,0,27,15,1,1,6,1,0,0,0
https://www.skokie.suntimes.com,skokie.suntimes.com,,0,31,19,1,1,6,1,0,0,0
https://www.blog.honzamrazek.cz,blog.honzamrazek.cz,46.28.106.42,0,31,19,1,1,6,1,0,0,0
https://www.devbean.net,devbean.net,39.99.147.185,0,23,11,1,1,6,1,0,0,0
https://www.zioc.ru,zioc.ru,92.53.96.222,0,19,7,1,1,6,1,0,0,0
https://www.m.lanacion.com.ar,m.lanacion.com.ar,190.220.56.34,0,29,17,1,1,6,1,0,0,0
https://www.savage.net.au,savage.net.au,114.142.161.169,0,25,13,1,1,6,1,0,0,0
https://www.analoglamb.com,analoglamb.com,23.234.210.61,0,26,14,1,1,6,1,0,0,0
https://www.habitathumano.com,habitathumano.com,,0,29,17,1,1,6,1,0,0,0
https://www.siagaindonesia.com,siagaindonesia.com,172.67.206.203,0,30,18,1,1,6,1,0,0,0
https://www.vermilionhistorical.com,vermilionhistorical.com,66.175.58.9,0,35,23,1,1,6,1,0,0,0
https://www.wawasandigital.com,wawasandigital.com,3.140.13.188,0,30,18,1,1,6,1,0,0,0
https://www.whatyoupayforsports.com,whatyoupayforsports.com,216.40.34.41,0,35,23,1,1,6,1,0,0,0
https://www.deepwoods.org,deepwoods.org,50.28.1.43,0,25,13,1,1,6,1,0,0,0
https://www.archive.thetelegraphandargus.co.uk,archive.thetelegraphandargus.co.uk,93.174.10.115,0,46,34,1,1,6,1,0,0,0
https://www.thelongestsite.de,thelongestsite.de,89.107.184.39,0,29,17,1,1,6,1,0,0,0
https://www.proyecto.localizarq.es,proyecto.localizarq.es,,0,34,22,1,1,6,1,0,0,0
https://www.historia.palacionacional.info,historia.palacionacional.info,192.185.57.180,0,41,29,1,1,6,1,0,0,0
https://www.susa-jinja.jp,susa-jinja.jp,54.64.137.146,0,25,13,1,2,6,1,0,0,0
https://www.web.bi.no,web.bi.no,144.164.101.6,0,21,9,1,1,6,1,0,0,0
https://www.prints.co.nz,prints.co.nz,216.188.17.84,0,24,12,1,1,6,1,0,0,0
https://www.africahumanitarian.org,africahumanitarian.org,109.70.148.61,0,34,22,1,1,6,1,0,0,0
https://www.climbers-club.co.uk,climbers-club.co.uk,67.20.68.76,0,31,19,1,2,6,1,0,0,0
https://www.itsallaboutcoventry.co.uk,itsallaboutcoventry.co.uk,193.177.164.3,0,37,25,1,1,6,1,0,0,0
https://www.policehour.co.uk,policehour.co.uk,192.0.78.25,0,28,16,1,1,6,1,0,0,0
https://www.3rd5thlancingseascouts.org.uk,3rd5thlancingseascouts.org.uk,185.230.63.186,0,41,29,1,1,6,1,0,0,0
https://www.consorziocostasmeralda.com,consorziocostasmeralda.com,185.25.205.47,0,38,26,1,1,6,1,0,0,0
https://www.erikds.com,erikds.com,66.235.200.146,0,22,10,1,1,6,1,0,0,0
https://www.library-genesis.com,library-genesis.com,185.107.56.192,0,31,19,1,2,6,1,0,0,0
https://www.oldammo.com,oldammo.com,64.71.38.156,0,23,11,1,1,6,1,0,0,0
https://www.parktropa.com,parktropa.com,78.140.140.248,0,25,13,1,1,6,1,0,0,0
https://www.rivistasportiva.com,rivistasportiva.com,45.200.56.72,0,31,19,1,1,6,1,0,0,0
https://www.swissprivateschoolregister.com,swissprivateschoolregister.com,46.232.179.141,0,42,30,1,1,6,1,0,0,0
https://www.bacau.insse.ro,bacau.insse.ro,193.151.29.23,0,26,14,1,1,6,1,0,0,0
https://www.news.gaeatimes.com,news.gaeatimes.com,158.69.142.50,0,30,18,1,1,6,1,0,0,0
https://www.robcrusade.com,robcrusade.com,64.190.63.111,0,26,14,1,1,6,1,0,0,0
https://www.enews.ma,enews.ma,,0,20,8,1,1,6,1,0,0,0
https://www.danamorris.net,danamorris.net,209.237.150.20,0,26,14,1,1,6,1,0,0,0
https://www.sonomacountylawlibrary.org,sonomacountylawlibrary.org,208.115.107.147,0,38,26,1,1,6,1,0,0,0
https://www.ksp.sg,ksp.sg,103.7.9.26,0,18,6,1,1,6,1,0,0,0
https://www.wokinghamfestival.co.uk,wokinghamfestival.co.uk,198.185.159.145,0,35,23,1,1,6,1,0,0,0
https://www.daviddawson.com.au,daviddawson.com.au,178.32.61.113,0,30,18,1,1,6,1,0,0,0
